article_id,sdom,bias_label_0_liberal_1_conservative
0,sputniknews.com,1
1,sputniknews.com,1
2,twitchy.com,1
3,twitchy.com,1
4,townhall.com,1
5,pilotonline.com,0
6,newsone.com,0
7,newsone.com,0
10,fivethirtyeight.com,0
11,fivethirtyeight.com,0
14,windsorstar.com,0
20,talkingpointsmemo.com,0
21,nypost.com,1
25,fortune.com,1
45,dailycaller.com,1
52,sputniknews.com,1
53,townhall.com,1
54,qz.com,0
57,mic.com,0
58,worldtribune.com,1
60,time.com,0
67,nypost.com,1
69,news.trust.org,0
70,news.trust.org,0
71,news.trust.org,0
75,globalnews.ca,0
82,time.com,0
83,time.com,0
84,talkingpointsmemo.com,0
85,nypost.com,1
87,nypost.com,1
88,nypost.com,1
89,news.trust.org,0
90,news.trust.org,0
93,historynewsnetwork.org,0
95,historynewsnetwork.org,0
96,historynewsnetwork.org,0
97,historynewsnetwork.org,0
99,historynewsnetwork.org,0
100,fortune.com,1
101,fortune.com,1
110,billmoyers.com,0
111,themoscowtimes.com,0
112,themoscowtimes.com,0
113,themoscowtimes.com,0
114,themoscowtimes.com,0
124,rare.us,1
125,oilprice.com,1
127,nypost.com,1
128,nypost.com,1
129,nypost.com,1
140,elitedaily.com,0
141,elitedaily.com,0
142,elitedaily.com,0
144,sputniknews.com,1
145,boingboing.net,0
146,boingboing.net,0
147,boingboing.net,0
148,boingboing.net,0
149,tucson.com,0
155,thehill.com,0
164,dailycaller.com,1
166,townhall.com,1
167,townhall.com,1
168,townhall.com,1
169,townhall.com,1
170,sputniknews.com,1
171,townhall.com,1
178,thehill.com,0
179,thehill.com,0
181,nypost.com,1
182,nypost.com,1
183,nypost.com,1
184,news.sky.com,0
185,globalnews.ca,0
189,fortune.com,1
193,sputniknews.com,1
194,sputniknews.com,1
195,sputniknews.com,1
196,sputniknews.com,1
199,qz.com,0
200,qz.com,0
201,qz.com,0
202,qz.com,0
203,pjmedia.com,1
204,patriotpost.us,1
208,therightscoop.com,1
209,therightscoop.com,1
210,news.trust.org,0
211,news.trust.org,0
212,news.trust.org,0
213,news.sky.com,0
216,dailycaller.com,1
217,dailycaller.com,1
218,dailycaller.com,1
219,dailycaller.com,1
220,dailycaller.com,1
221,dailycaller.com,1
222,dailycaller.com,1
230,townhall.com,1
232,townhall.com,1
237,themoscowtimes.com,0
238,sputniknews.com,1
239,sputniknews.com,1
240,sputniknews.com,1
241,sputniknews.com,1
242,sputniknews.com,1
243,patriotpost.us,1
244,qz.com,0
245,boingboing.net,0
248,thelibertarianrepublic.com,1
249,thelibertarianrepublic.com,1
250,thelibertarianrepublic.com,1
251,thelibertarianrepublic.com,1
252,thelibertarianrepublic.com,1
253,thelibertarianrepublic.com,1
254,thelibertarianrepublic.com,1
255,thelibertarianrepublic.com,1
257,rare.us,1
259,news.sky.com,0
260,news.trust.org,0
265,globalnews.ca,0
268,globalnews.ca,0
270,dailycaller.com,1
271,dailycaller.com,1
272,dailycaller.com,1
277,sputniknews.com,1
279,time.com,0
280,time.com,0
281,talkingpointsmemo.com,0
283,mashable.com,0
290,canadafreepress.com,1
292,canadafreepress.com,1
293,canadafreepress.com,1
294,canadafreepress.com,1
295,canadafreepress.com,1
296,canadafreepress.com,1
297,canadafreepress.com,1
301,sputniknews.com,1
302,wonkette.com,0
303,euobserver.com,0
304,euobserver.com,0
307,tucson.com,0
308,time.com,0
309,thefederalist.com,1
310,observer.com,1
311,observer.com,1
312,observer.com,1
314,dailycaller.com,1
318,globalnews.ca,0
321,fortune.com,1
322,dailycaller.com,1
323,dailycaller.com,1
324,dailycaller.com,1
325,dailycaller.com,1
328,qz.com,0
329,mic.com,0
338,nypost.com,1
339,news.sky.com,0
340,news.sky.com,0
344,fortune.com,1
346,fortune.com,1
347,fortune.com,1
354,sputniknews.com,1
355,sputniknews.com,1
356,sputniknews.com,1
357,sputniknews.com,1
358,sputniknews.com,1
359,pilotonline.com,0
360,pilotonline.com,0
361,pilotonline.com,0
362,pilotonline.com,0
363,pilotonline.com,0
364,pilotonline.com,0
368,uproxx.com,0
369,time.com,0
373,time.com,0
374,time.com,0
375,time.com,0
376,theweek.com,0
377,theweek.com,0
378,theweek.com,0
379,theweek.com,0
380,theweek.com,0
381,theweek.com,0
384,nypost.com,1
385,nypost.com,1
386,nypost.com,1
387,news.sky.com,0
397,historynewsnetwork.org,0
398,globalnews.ca,0
399,globalnews.ca,0
401,fortune.com,1
402,calgaryherald.com,0
406,sputniknews.com,1
407,sputniknews.com,1
408,worldtribune.com,1
409,theweek.com,0
410,news.trust.org,0
411,news.trust.org,0
412,news.trust.org,0
429,watchdog.org,1
431,watchdog.org,1
432,watchdog.org,1
433,uproxx.com,0
437,talkingpointsmemo.com,0
438,oilprice.com,1
445,elitedaily.com,0
454,patriotpost.us,1
455,patriotpost.us,1
457,fivethirtyeight.com,0
459,boingboing.net,0
461,tucson.com,0
464,time.com,0
467,talkingpointsmemo.com,0
469,reason.com,1
489,sputniknews.com,1
490,sputniknews.com,1
503,news.trust.org,0
506,mashable.com,0
513,fortune.com,1
521,townhall.com,1
522,sputniknews.com,1
523,sputniknews.com,1
524,euobserver.com,0
525,boingboing.net,0
526,boingboing.net,0
527,calgaryherald.com,0
528,washingtonmonthly.com,0
531,nypost.com,1
532,globalnews.ca,0
536,sputniknews.com,1
538,qz.com,0
539,newsone.com,0
540,newsone.com,0
542,newsone.com,0
566,billmoyers.com,0
567,rewire.news,0
568,qz.com,0
569,mic.com,0
570,euobserver.com,0
575,nypost.com,1
576,news.trust.org,0
577,news.sky.com,0
578,news.sky.com,0
579,news.trust.org,0
580,news.trust.org,0
584,mashable.com,0
588,dailycaller.com,1
589,dailycaller.com,1
590,dailycaller.com,1
591,dailycaller.com,1
593,sputniknews.com,1
594,qz.com,0
595,euobserver.com,0
599,spiked-online.com,1
600,time.com,0
603,talkingpointsmemo.com,0
604,talkingpointsmemo.com,0
605,talkingpointsmemo.com,0
606,talkingpointsmemo.com,0
607,talkingpointsmemo.com,0
609,oilprice.com,1
610,nypost.com,1
611,observer.com,1
612,news.trust.org,0
613,news.trust.org,0
614,news.trust.org,0
618,fortune.com,1
619,dailycaller.com,1
620,townhall.com,1
621,townhall.com,1
622,sputniknews.com,1
623,pjmedia.com,1
628,talkingpointsmemo.com,0
631,time.com,0
644,time.com,0
645,time.com,0
668,townhall.com,1
669,sputniknews.com,1
671,sputniknews.com,1
672,mic.com,0
674,time.com,0
675,time.com,0
676,nypost.com,1
677,nypost.com,1
678,nypost.com,1
679,nypost.com,1
680,news.trust.org,0
681,news.trust.org,0
682,news.trust.org,0
683,news.trust.org,0
684,news.trust.org,0
696,globalnews.ca,0
698,dailycaller.com,1
699,dailycaller.com,1
700,dailycaller.com,1
701,dailycaller.com,1
702,dailycaller.com,1
708,themoscowtimes.com,0
712,sputniknews.com,1
717,observer.com,1
718,observer.com,1
719,observer.com,1
720,news.trust.org,0
721,news.trust.org,0
729,canadafreepress.com,1
731,canadafreepress.com,1
732,canadafreepress.com,1
733,canadafreepress.com,1
734,townhall.com,1
735,sputniknews.com,1
736,sputniknews.com,1
737,sputniknews.com,1
738,sputniknews.com,1
739,sputniknews.com,1
740,qz.com,0
746,talkingpointsmemo.com,0
747,nypost.com,1
748,nypost.com,1
754,dailycaller.com,1
756,pilotonline.com,0
758,sputniknews.com,1
759,sputniknews.com,1
760,sputniknews.com,1
761,pilotonline.com,0
762,pilotonline.com,0
764,euobserver.com,0
765,euobserver.com,0
768,euobserver.com,0
776,time.com,0
777,time.com,0
778,thefederalist.com,1
779,thefederalist.com,1
780,thefederalist.com,1
781,thefederalist.com,1
787,theweek.com,0
788,theweek.com,0
789,theweek.com,0
790,theweek.com,0
791,theweek.com,0
792,theweek.com,0
793,theweek.com,0
